timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
297,1.4342978612082806,-0.3555611700027337,-2.7447782761562087,0.34150365790229065,-0.3364883584585042,-3.9042802129562713,1.0927942033059899,-0.019072811544229462,1.1595019368000625,1.5934263975353462
298,1.4264038788296904,-0.35886908956941244,-2.7665182167230276,0.3217806299349115,-0.31758856607203484,-3.9068980542817995,1.104623248894779,-0.0412805234973776,1.140379837558772,1.5881948172468154
299,1.418439853514214,-0.3620046262742781,-2.7882581572898464,0.3020254241726877,-0.2985617424935936,-3.9093454267228522,1.1164144293415263,-0.06344288378068452,1.1210872694330059,1.5834275617246054
300,1.4104095491111979,-0.3649662982426114,-2.809998097856665,0.2822400161197344,-0.27941549819892586,-3.9116248771565965,1.1281695329914634,-0.08555080004368554,1.1016267792999312,1.5791348882945468
301,1.402192317510428,-0.3677955525222344,-2.8306975031858475,0.2624263843003676,-0.260157491430468,-3.9137387664655594,1.1397659332100605,-0.10763806109176638,1.083041263279712,1.5759539056293204
302,1.393918286547334,-0.37045412104330266,-2.8513969085150297,0.2425865100612595,-0.2407954251341592,-3.915689274265558,1.1513317764860747,-0.12965869590914347,1.064292365750528,1.5732432986560902
303,1.3855910012311656,-0.37294086474191357,-2.872096313844212,0.22272237737329917,-0.22133704387835867,-3.917478403276261,1.1628686238578665,-0.1516038208635549,1.045382089432049,1.5710095059415883
304,1.3772140293880049,-0.3752547181725239,-2.892795719173394,0.20283597263320371,-0.2017901307561289,-3.9191079833409526,1.1743780567548012,-0.17346458741639503,1.0263122641675584,1.5692579924459407
305,1.3687909601321304,-0.37739468996444014,-2.9134951245025764,0.1829292844648735,-0.182162504272095,-3.9205796751018855,1.1858616756672569,-0.19523218569234516,1.0070845505993091,1.5679932436724264
306,1.3601756001401564,-0.3793946379494895,-2.932914881440395,0.16300430352053824,-0.16246201521515416,-3.9218949733374173,1.1971712966196182,-0.21693262273433536,0.9889800918970222,1.5679159730116081
307,1.3515230285767579,-0.3812269111481368,-2.952334638378214,0.14306302228168652,-0.14269654351825772,-3.9230552099667713,1.2084600062950714,-0.23853036762987906,0.9707205715885574,1.5683018686469594
308,1.3428365084573914,-0.3828908185824775,-2.9717543953160326,0.1231074348598263,-0.12287399510655006,-3.924061556727898,1.2197290735975652,-0.2600168234759274,0.9523071614118654,1.5691515832277043
309,1.3341193156000266,-0.3843857327678804,-2.9911741522538513,0.10313953679706928,-0.10300229873509785,-3.9249150275334688,1.2309797788029573,-0.28138343403278254,0.9337408752796175,1.5704648595042823
310,1.3253747373897857,-0.3857110899496217,-3.01059390919167,0.08316132486658098,-0.0830894028174964,-3.925616480509538,1.2422134125232047,-0.30262168713212534,0.9150225713178681,1.5722405521409255
311,1.3164455862665188,-0.3868875347743378,-3.028576917555311,0.06317479687290779,-0.06314327224661277,-3.9261666197208918,1.253270789393611,-0.32374426252772504,0.8975897021655808,1.5751715120902237
312,1.3074967240202666,-0.3879032250348732,-3.046559925918952,0.04318195145219192,-0.04317188520872868,-3.9265659965865387,1.2643147725680748,-0.3447313398261445,0.8800060706675867,1.5785253324555792
313,1.298531044532983,-0.38875783227743854,-3.064542934282593,0.02318478787231655,-0.02318322999237945,-3.9268150109882316,1.2753462566606664,-0.3655746022850591,0.8622720767056387,1.5822976959094988
314,1.2895514471249787,-0.38945108013925067,-3.082525942646234,0.0031853058329736565,-0.0031853017931379904,-3.926913912074293,1.286366141292005,-0.3862657783461127,0.8443879694280589,1.5864835782001188
315,1.2805608356173401,-0.38998274443790276,-3.100508951009875,-0.016814494734297237,0.016813900484349713,-3.926862798760413,1.2973753303516373,-0.4067966449222525,0.8263538477505383,1.5910772890771652
316,1.2714033663749582,-0.3903591789954201,-3.1169691088149536,-0.03681261386610762,0.03680637742582691,-3.9266616199284714,1.3082159802410658,-0.42716555642124704,0.8096925111135178,1.59671582509352
317,1.262240941759822,-0.39058483597672244,-3.1334292666200323,-0.05680705176720758,0.05678413230707805,-3.9263101743237865,1.3190479935270296,-0.4473689682838005,0.7928809077037542,1.6027123063145563
318,1.2530760441538427,-0.3906596542444109,3.1332958827544752,-0.07679580901047076,0.07673917429251892,-3.925808110150593,1.3298718531643134,-0.4673988285369298,0.7759186857254825,1.609058922977757
319,1.2439111566089405,-0.3905836135279215,3.1168357249493965,-0.0967768867368283,0.09666352163141724,-3.9251549243648918,1.3406880433457689,-0.4872471351593387,0.7588053421347016,1.6157474269029335
320,1.23474876217431,-0.3903567344290171,3.100375567144318,-0.11674828685516017,0.11654920485049365,-3.9243499616631996,1.3514970490294702,-0.5069059392795108,0.7415402216279308,1.6227691780115279
