[2026-04-30 23:19:59.610] [INFO] [mpc_sim] k=244 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:59.717] [INFO] [mpc_sim] k=245 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:59.800] [INFO] [mpc_sim] k=246 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:59.898] [INFO] [mpc_sim] k=247 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:00.004] [INFO] [mpc_sim] k=248 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:00.138] [INFO] [mpc_sim] k=249 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:00.381] [INFO] [mpc_sim] k=250 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:00.515] [INFO] [mpc_sim] k=251 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:00.658] [INFO] [mpc_sim] k=252 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:00.774] [INFO] [mpc_sim] k=253 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:00.871] [INFO] [mpc_sim] k=254 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:01.027] [INFO] [mpc_sim] k=255 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:01.383] [INFO] [mpc_sim] k=256 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:01.709] [INFO] [mpc_sim] k=257 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:02.040] [INFO] [mpc_sim] k=258 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:02.351] [INFO] [mpc_sim] k=259 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:02.634] [INFO] [mpc_sim] k=260 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:02.787] [INFO] [mpc_sim] k=261 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:03.014] [INFO] [mpc_sim] k=262 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:03.153] [INFO] [mpc_sim] k=263 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:03.427] [INFO] [mpc_sim] k=264 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:03.682] [INFO] [mpc_sim] k=265 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:03.962] [INFO] [mpc_sim] k=266 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:04.309] [INFO] [mpc_sim] k=267 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:04.669] [INFO] [mpc_sim] k=268 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:05.128] [INFO] [mpc_sim] k=269 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:05.471] [INFO] [mpc_sim] k=270 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:05.819] [INFO] [mpc_sim] k=271 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:06.158] [INFO] [mpc_sim] k=272 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:06.423] [INFO] [mpc_sim] k=273 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:06.667] [INFO] [mpc_sim] k=274 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:06.936] [INFO] [mpc_sim] k=275 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:07.229] [INFO] [mpc_sim] k=276 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:07.492] [INFO] [mpc_sim] k=277 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:07.733] [INFO] [mpc_sim] k=278 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:07.960] [INFO] [mpc_sim] k=279 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:08.224] [INFO] [mpc_sim] k=280 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:08.538] [INFO] [mpc_sim] k=281 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:08.760] [INFO] [mpc_sim] k=282 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:09.015] [INFO] [mpc_sim] k=283 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:09.225] [INFO] [mpc_sim] k=284 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:09.470] [INFO] [mpc_sim] k=285 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:09.648] [INFO] [mpc_sim] k=286 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:09.758] [INFO] [mpc_sim] k=287 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:10.068] [INFO] [mpc_sim] k=288 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:10.178] [INFO] [mpc_sim] k=289 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:10.284] [INFO] [mpc_sim] k=290 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:10.389] [INFO] [mpc_sim] k=291 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:10.489] [INFO] [mpc_sim] k=292 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:10.581] [INFO] [mpc_sim] k=293 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:10.677] [INFO] [mpc_sim] k=294 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:10.770] [INFO] [mpc_sim] k=295 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:10.845] [INFO] [mpc_sim] k=296 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:10.949] [INFO] [mpc_sim] k=297 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:11.100] [INFO] [mpc_sim] k=298 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:11.334] [INFO] [mpc_sim] k=299 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:11.548] [INFO] [mpc_sim] k=300 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:11.778] [INFO] [mpc_sim] k=301 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:12.020] [INFO] [mpc_sim] k=302 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:12.321] [INFO] [mpc_sim] k=303 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:12.632] [INFO] [mpc_sim] k=304 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:12.943] [INFO] [mpc_sim] k=305 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:13.258] [INFO] [mpc_sim] k=306 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:13.701] [INFO] [mpc_sim] k=307 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:29.812] [INFO] [mpc_sim] k=389 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:29.907] [INFO] [mpc_sim] k=390 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:29.996] [INFO] [mpc_sim] k=391 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:30.072] [INFO] [mpc_sim] k=392 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:30.153] [INFO] [mpc_sim] k=393 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:30.231] [INFO] [mpc_sim] k=394 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:30.303] [INFO] [mpc_sim] k=395 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:30.376] [INFO] [mpc_sim] k=396 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:30.443] [INFO] [mpc_sim] k=397 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:30.522] [INFO] [mpc_sim] k=398 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:30.583] [INFO] [mpc_sim] k=399 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:30.663] [INFO] [mpc_sim] k=400 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:30.731] [INFO] [mpc_sim] k=401 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:30.867] [INFO] [mpc_sim] k=402 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:30.935] [INFO] [mpc_sim] k=403 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:31.011] [INFO] [mpc_sim] k=404 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:31.083] [INFO] [mpc_sim] k=405 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:31.157] [INFO] [mpc_sim] k=406 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:31.237] [INFO] [mpc_sim] k=407 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:31.345] [INFO] [mpc_sim] k=408 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:31.463] [INFO] [mpc_sim] k=409 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:31.565] [INFO] [mpc_sim] k=410 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:31.655] [INFO] [mpc_sim] k=411 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:31.742] [INFO] [mpc_sim] k=412 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:31.834] [INFO] [mpc_sim] k=413 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:31.932] [INFO] [mpc_sim] k=414 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:32.043] [INFO] [mpc_sim] k=415 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:32.143] [INFO] [mpc_sim] k=416 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:32.254] [INFO] [mpc_sim] k=417 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:32.377] [INFO] [mpc_sim] k=418 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:32.489] [INFO] [mpc_sim] k=419 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:32.600] [INFO] [mpc_sim] k=420 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:32.832] [INFO] [mpc_sim] k=421 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:33.104] [INFO] [mpc_sim] k=422 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:33.412] [INFO] [mpc_sim] k=423 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:33.763] [INFO] [mpc_sim] k=424 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:34.039] [INFO] [mpc_sim] k=425 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:34.432] [INFO] [mpc_sim] k=426 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:34.752] [INFO] [mpc_sim] k=427 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:35.048] [INFO] [mpc_sim] k=428 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:35.359] [INFO] [mpc_sim] k=429 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:35.643] [INFO] [mpc_sim] k=430 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:35.978] [INFO] [mpc_sim] k=431 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:36.352] [INFO] [mpc_sim] k=432 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:36.744] [INFO] [mpc_sim] k=433 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:37.079] [INFO] [mpc_sim] k=434 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:37.400] [INFO] [mpc_sim] k=435 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:37.706] [INFO] [mpc_sim] k=436 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:38.021] [INFO] [mpc_sim] k=437 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:38.323] [INFO] [mpc_sim] k=438 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:38.631] [INFO] [mpc_sim] k=439 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:39.041] [INFO] [mpc_sim] k=440 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:39.279] [INFO] [mpc_sim] k=441 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:39.567] [INFO] [mpc_sim] k=442 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:39.860] [INFO] [mpc_sim] k=443 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:40.133] [INFO] [mpc_sim] k=444 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:40.381] [INFO] [mpc_sim] k=445 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:40.754] [INFO] [mpc_sim] k=446 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:40.956] [INFO] [mpc_sim] k=447 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:41.077] [INFO] [mpc_sim] k=448 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:41.185] [INFO] [mpc_sim] k=449 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:20:41.298] [INFO] [mpc_sim] k=450 | Constraint: slack_activated | reason=feasibility
