timestep,v,omega,controller,solve_time_ms
181,0.13316756360257828,-0.6588368900148007,MPC,435.557400000107
182,0.11416486152103532,-0.6726225641160216,MPC,379.622799999197
183,0.09419343309794347,-0.6871028737972543,MPC,558.082799998374
184,0.07324660212730565,-0.7022942775863323,MPC,368.4079999984533
185,0.05131807869029703,-0.7182129111093039,MPC,335.1502999976219
186,0.028402146352002694,-0.7348743490688463,MPC,355.1887000030547
187,0.00449388081662346,-0.7522933293872187,MPC,520.6020000005083
188,-0.02041059652283261,-0.7704834353201995,MPC,474.6610000001965
189,-0.04631382643597971,-0.7894567312452045,MPC,277.7005999996618
190,-0.07321667719016293,-0.8092233478326689,MPC,229.33370000100695
191,-0.1011179633152601,-0.8297910124638755,MPC,113.2739999993646
192,-0.13001401371241705,-0.8511645211070821,MPC,107.25570000067819
193,-0.15989818512820175,-0.8733451484615967,MPC,314.5450999982131
194,-0.19076031730471482,-0.8963299940882578,MPC,100.75789999973495
195,-0.22258612663623453,-0.9201112635335339,MPC,120.46949999785284
196,-0.2553565359720633,-0.9446754851962991,MPC,108.14200000095298
197,-0.28904693936821235,-0.9700026659559923,MPC,96.29520000089542
198,-0.3236264021778111,-0.9960653914482623,MPC,109.67779999919003
199,-0.3590567989558535,-1.022827880398303,MPC,68.86959999974351
200,-0.39529189430862777,-1.0502450066401294,MPC,79.00119999976596
201,-0.43227637510939965,-1.0782613073646634,MPC,83.95350000137114
202,-0.4699448464766216,-1.1068100017040812,MPC,74.56050000109826
203,-0.5082208085902415,-1.135812049861913,MPC,110.27370000010706
204,-0.5470156367884409,-1.1651752894398848,MPC,100.80179999931715
205,-0.5862275933621169,-1.1947936920946516,MPC,106.97160000199801
206,-0.6257409058981811,-1.2245467897668079,MPC,59.247199998935685
207,-0.6654249536699113,-1.2542993249271395,MPC,116.4667000011832
208,-0.7051336100783439,-1.2839011829340115,MPC,115.30809999749181
209,-0.7447047950425398,-1.3131876659529365,MPC,111.940599999798
210,-0.7839602959217503,-1.3419801661698305,MPC,100.6632000026002
211,-0.7811514121505466,-1.3698953933945672,MPC,127.92919999992591
212,-0.607263725309009,-1.3959005870593668,MPC,177.4824999993143
213,-0.4277066497754704,-1.420644856120524,MPC,106.5374999998312
214,-0.30065799874748106,-1.4442093014241024,MPC,71.55069999862462
