x,y,z
-1.962245422457996469e+01,8.575628908066029510e+00,1.260000000000000009e-01
-1.988634279151515472e+01,8.773777255622103866e+00,1.260000000000000009e-01
-2.015192331931113756e+01,8.969944375179164098e+00,1.260000000000000009e-01
-2.041892649966676743e+01,9.164261973001778472e+00,1.260000000000000009e-01
-2.068708302428087720e+01,9.356861755354499266e+00,1.260000000000000009e-01
-2.095612358485233173e+01,9.547875428501892969e+00,1.260000000000000009e-01
-2.122577887307995681e+01,9.737434698708518965e+00,1.260000000000000009e-01
-2.149577958066261019e+01,9.925671272238936638e+00,1.260000000000000009e-01
-2.176585639929912475e+01,1.011271685535770715e+01,1.260000000000000009e-01
-2.203574002068835469e+01,1.029870315432939520e+01,1.260000000000000009e-01
-2.230516113652914356e+01,1.048376187541855664e+01,1.260000000000000009e-01
-2.257385043852033135e+01,1.066802472488975262e+01,1.260000000000000009e-01
-2.284153861836077226e+01,1.085162340900754607e+01,1.260000000000000009e-01
-2.310795636774929207e+01,1.103468963403649461e+01,1.260000000000000009e-01
-2.337283437838475919e+01,1.121735510624116294e+01,1.260000000000000009e-01
-2.363590334196600296e+01,1.139975153188611223e+01,1.260000000000000009e-01
-2.389689395019187401e+01,1.158201061723589298e+01,1.260000000000000009e-01
-2.415553689476121235e+01,1.176426406855507878e+01,1.260000000000000009e-01
-2.441156286737286862e+01,1.194664359210822369e+01,1.260000000000000009e-01
-2.466470255972568637e+01,1.212928089415988708e+01,1.260000000000000009e-01
-2.491468666351850203e+01,1.231230768097463724e+01,1.260000000000000009e-01
-2.516124587045018401e+01,1.249585565881703175e+01,1.260000000000000009e-01
-2.540411087221954389e+01,1.268005653395162646e+01,1.260000000000000009e-01
-2.564301236052545008e+01,1.286504201264298608e+01,1.260000000000000009e-01
-2.587768102706673545e+01,1.305094380115566999e+01,1.260000000000000009e-01
-2.610784756354225777e+01,1.323789360575423757e+01,1.260000000000000009e-01
-2.633324266165084993e+01,1.342602313270325887e+01,1.260000000000000009e-01
-2.655359701309136256e+01,1.361546408826728261e+01,1.260000000000000009e-01
-2.676864130956263210e+01,1.380634817871087172e+01,1.260000000000000009e-01
-2.697810624276351632e+01,1.399880711029859270e+01,1.260000000000000009e-01
-2.718172250439285165e+01,1.419297258929500494e+01,1.260000000000000009e-01
-2.737922078614948518e+01,1.438897632196466247e+01,1.260000000000000009e-01
-2.757033177973226401e+01,1.458695001457213536e+01,1.260000000000000009e-01
-2.775478617684002813e+01,1.478702537338197764e+01,1.260000000000000009e-01
-2.793231466917162820e+01,1.498933410465875404e+01,1.260000000000000009e-01
-2.810264794842590419e+01,1.519400791466702216e+01,1.260000000000000009e-01
-2.826551670630169966e+01,1.540117850967134316e+01,1.260000000000000009e-01
-2.842065163449786169e+01,1.561097759593628354e+01,1.260000000000000009e-01
-2.856778342471323384e+01,1.582353687972639200e+01,1.260000000000000009e-01
-2.870664276864666675e+01,1.603898806730624216e+01,1.260000000000000009e-01
-2.883696035799699331e+01,1.625746286494037918e+01,1.260000000000000009e-01
-2.895846688446307837e+01,1.647909297889338731e+01,1.260000000000000009e-01
-2.907089303974374062e+01,1.670401011542980285e+01,1.260000000000000009e-01
-2.917396951553785200e+01,1.693234598081420472e+01,1.260000000000000009e-01
-2.926742700354423476e+01,1.716423228131114342e+01,1.260000000000000009e-01
-2.935099619546173599e+01,1.739980072318517657e+01,1.260000000000000009e-01
-2.942440778298922410e+01,1.763918301270087952e+01,1.260000000000000009e-01
-2.948739245782551421e+01,1.788251085612279923e+01,1.260000000000000009e-01
-2.953968091166947119e+01,1.812991595971550396e+01,1.260000000000000009e-01
-2.958100383621993146e+01,1.838153002974355488e+01,1.260000000000000009e-01
-2.961109192317573502e+01,1.863748477247150248e+01,1.260000000000000009e-01
-2.962968271554902344e+01,1.889790552358602582e+01,1.260000000000000009e-01
-2.963676303877896245e+01,1.916268582772138274e+01,1.260000000000000009e-01
-2.963263400603385378e+01,1.943142699437771981e+01,1.260000000000000009e-01
-2.961761680208475056e+01,1.970371166981449917e+01,1.260000000000000009e-01
-2.959203261170273436e+01,1.997912250029119008e+01,1.260000000000000009e-01
-2.955620261965887607e+01,2.025724213206727242e+01,1.260000000000000009e-01
-2.951044801072424306e+01,2.053765321140220479e+01,1.260000000000000009e-01
-2.945508996966989912e+01,2.081993838455545642e+01,1.260000000000000009e-01
-2.939044968126694357e+01,2.110368029778650723e+01,1.260000000000000009e-01
-2.931684833028641890e+01,2.138846159735481223e+01,1.260000000000000009e-01
-2.923460710149941733e+01,2.167386492951986199e+01,1.260000000000000009e-01
-2.914404717967699199e+01,2.195947294054110799e+01,1.260000000000000009e-01
-2.904548974959021734e+01,2.224486827667802302e+01,1.260000000000000009e-01
-2.893925599601017495e+01,2.252963358419007633e+01,1.260000000000000009e-01
-2.882566710370793217e+01,2.281335150933674427e+01,1.260000000000000009e-01
-2.870504425745456345e+01,2.309560469837748542e+01,1.260000000000000009e-01
-2.857770864202113259e+01,2.337597579757178323e+01,1.260000000000000009e-01
-2.844398144217870339e+01,2.365404745317909274e+01,1.260000000000000009e-01
-2.830418384269837162e+01,2.392940231145889385e+01,1.260000000000000009e-01
-2.815863702835118332e+01,2.420162301867064869e+01,1.260000000000000009e-01
-2.800766218390822360e+01,2.447029222107383717e+01,1.260000000000000009e-01
-2.785158035267689058e+01,2.473499281441229414e+01,1.260000000000000009e-01
-2.769065073851230707e+01,2.499541675407062513e+01,1.260000000000000009e-01
-2.752497412869554338e+01,2.525153537783451796e+01,1.260000000000000009e-01
-2.735462630090595937e+01,2.550336413025444671e+01,1.260000000000000009e-01
-2.717968303282293263e+01,2.575091845588086770e+01,1.260000000000000009e-01
-2.700022010212583012e+01,2.599421379926426212e+01,1.260000000000000009e-01
-2.681631328649401524e+01,2.623326560495509696e+01,1.260000000000000009e-01
-2.662803836360686205e+01,2.646808931750385341e+01,1.260000000000000009e-01
-2.643547111114374459e+01,2.669870038146098423e+01,1.260000000000000009e-01
-2.623868730678402628e+01,2.692511424137697418e+01,1.260000000000000009e-01
-2.603776272820708115e+01,2.714734634180229378e+01,1.260000000000000009e-01
-2.583277315309227617e+01,2.736541212728741002e+01,1.260000000000000009e-01
-2.562379435911898184e+01,2.757932704238280053e+01,1.260000000000000009e-01
-2.541090212396655801e+01,2.778910653163892874e+01,1.260000000000000009e-01
