,t,dist_err,head_err,v_l,v_r,x,y,pitch_deg,v_act,gL,gR,t_rel
413,1777515101.0638342,2.6185842,-2.702273,0.72582793,0.76017207,-25.924353518945576,27.16232736197992,0.0,0.7470358732308814,1.0195624,0.9787448,84.22589135169983
414,1777515101.263166,2.4695787,-1.3718495,0.7125134,0.769911,-25.82183357084123,27.267708769034144,0.0,0.7441839247152191,1.0201687,0.9784359,84.42522311210632
415,1777515101.4650452,2.3295228,-1.7868184,0.7163907,0.7669842,-25.717532313665906,27.373183551641638,0.0,0.7163199062833452,1.0202936,0.9783414,84.62710237503052
416,1777515101.662925,2.173902,-1.9531713,0.7178575,0.76582783,-25.614237167122834,27.478953488459585,0.0,0.7560932913058016,1.0204834,0.9782682,84.82498216629028
417,1777515101.8629308,2.024404,-1.95579,0.7177669,0.76585525,-25.509573153851356,27.584916090414826,0.0,0.7297226168178925,1.0206568,0.9781849,85.0249879360199
418,1777515102.0634313,1.884086,-0.23317988,0.7014031,0.77848846,-25.402697058749055,27.689583702110735,0.0,0.7497056231480941,1.0209286,0.9779456,85.22548842430115
419,1777515102.2640839,1.7284826,0.05845702,0.6988025,0.7806327,-25.29583859862388,27.790097044358202,0.0,0.7283918531755637,1.0208153,0.9779199,85.42614102363586
420,1777515102.4665494,1.579729,0.464723,0.6951734,0.78363055,-25.1869296498647,27.89193408256741,0.0,0.735477675770349,1.0206949,0.97787553,85.62860655784607
421,1777515102.664323,1.4392216,1.2790807,0.65495384,0.7521951,-25.07704650720502,27.99245712451765,0.0,0.7530566782454431,1.0205792,0.977787,85.82638025283813
422,1777515102.8642616,1.283944,2.0106452,0.57005334,0.6645709,-24.967447136228717,28.090012691170813,0.0,0.7265757633492771,1.0202172,0.9778779,86.02631878852844
423,1777515103.0636432,1.1370579,2.1976154,0.5012064,0.5796156,-24.858265184906802,28.187361986059923,0.0,0.7101154949642778,1.0193847,0.9783014,86.22570037841797
424,1777515103.2627225,1.0050745,2.7960865,0.4416663,0.5065844,-24.754827836449714,28.278965341467124,0.0,0.6537281386844825,1.0183514,0.97892356,86.4247796535492
425,1777515103.4646995,0.8732993,3.324953,0.38864738,0.43179667,-24.66359975344948,28.35905219747169,0.0,0.5849432618090716,1.0171824,0.9797728,86.62675666809082
426,1777515103.6636992,0.7635805,2.707651,0.35821286,0.3595404,-24.582753594659394,28.43210686950611,0.0,0.5005464558932631,1.0158653,0.9809039,86.82575631141663
427,1777515103.8642797,0.6735445,2.9026172,0.35821286,0.3595404,-24.514890060747344,28.494891183002476,0.0,0.4392009698693868,1.0146457,0.9821618,87.02633690834045
